ticker,Date,SplitRatio
0003.HK,2007-05-08 00:00:00+08:00,1.1
0003.HK,2008-05-05 00:00:00+08:00,1.1
0003.HK,2010-05-14 00:00:00+08:00,1.1
0003.HK,2011-05-23 00:00:00+08:00,1.1
0003.HK,2012-06-07 00:00:00+08:00,1.1
0003.HK,2013-06-07 00:00:00+08:00,1.1
0003.HK,2014-06-06 00:00:00+08:00,1.1
0003.HK,2015-06-03 00:00:00+08:00,1.1
0003.HK,2016-06-10 00:00:00+08:00,1.1
0003.HK,2017-06-09 00:00:00+08:00,1.1
0003.HK,2018-06-08 00:00:00+08:00,1.1
0003.HK,2019-05-30 00:00:00+08:00,1.1
0003.HK,2020-06-09 00:00:00+08:00,1.05
0003.HK,2021-06-04 00:00:00+08:00,1.05
000660.KS,2003-04-14 00:00:00+09:00,0.047619047619047616
0012.HK,2013-06-05 00:00:00+08:00,1.1
0012.HK,2014-06-11 00:00:00+08:00,1.1
0012.HK,2015-06-04 00:00:00+08:00,1.1
0012.HK,2016-06-06 00:00:00+08:00,1.1
0012.HK,2017-06-07 00:00:00+08:00,1.1
0012.HK,2018-06-05 00:00:00+08:00,1.1
0012.HK,2019-05-30 00:00:00+08:00,1.1
0017.HK,2020-06-23 00:00:00+08:00,0.25
002050.SZ,2005-11-18 00:00:00+08:00,1.3
002050.SZ,2012-04-09 00:00:00+08:00,2.0
002050.SZ,2014-06-04 00:00:00+08:00,1.3
002050.SZ,2015-04-21 00:00:00+08:00,2.0
002050.SZ,2019-05-10 00:00:00+08:00,1.3
002050.SZ,2020-06-03 00:00:00+08:00,1.3
002371.SZ,2011-07-01 00:00:00+08:00,1.3
002371.SZ,2012-03-27 00:00:00+08:00,1.8
002371.SZ,2013-05-10 00:00:00+08:00,2.0
002371.SZ,2025-07-03 00:00:00+08:00,1.35
002690.SZ,2013-06-07 00:00:00+08:00,1.3
002690.SZ,2014-05-20 00:00:00+08:00,1.3
002690.SZ,2015-05-22 00:00:00+08:00,2.0
002690.SZ,2022-05-13 00:00:00+08:00,1.3
0386.HK,2013-06-10 00:00:00+08:00,1.3
0631.HK,2011-05-05 00:00:00+08:00,1.5
0700.HK,2014-05-15 00:00:00+08:00,5.0
0823.HK,2010-06-15 00:00:00+08:00,1.02483
0868.HK,2010-05-20 00:00:00+08:00,2.0
0883.HK,2004-03-17 00:00:00+08:00,5.0
0981.HK,2016-11-21 00:00:00+08:00,0.1
0981.HK,2016-12-07 00:00:00+08:00,0.1
1093.HK,2020-06-18 00:00:00+08:00,1.2
1093.HK,2020-10-15 00:00:00+08:00,1.6
1093.HK,2020-10-16 00:00:00+08:00,1.6
1177.HK,2005-05-06 00:00:00+08:00,1.5
1177.HK,2009-06-03 00:00:00+08:00,1.3333333333333333
1177.HK,2009-12-04 00:00:00+08:00,1.5
1177.HK,2015-11-13 00:00:00+08:00,1.5
1177.HK,2018-06-04 00:00:00+08:00,1.5
1177.HK,2020-07-20 00:00:00+08:00,1.5
1211.HK,2008-02-15 00:00:00+08:00,3.8
1211.HK,2025-06-10 00:00:00+08:00,3.0
2269.HK,2020-11-16 00:00:00+08:00,3.0
2318.HK,2015-07-27 00:00:00+08:00,2.0
2319.HK,2015-10-13 00:00:00+08:00,2.0
2359.HK,2019-06-17 00:00:00+08:00,1.4
2359.HK,2020-05-26 00:00:00+08:00,1.4
2359.HK,2020-05-27 00:00:00+08:00,1.4
2359.HK,2021-05-28 00:00:00+08:00,1.2
2360.TW,2000-06-28 00:00:00+08:00,1.3
2360.TW,2001-07-19 00:00:00+08:00,1.15
2360.TW,2002-07-17 00:00:00+08:00,1.07
2360.TW,2003-07-11 00:00:00+08:00,1.070402
