Symbol,PnC,Strike,Expiration,KEY
HYG,P,75.0,2025-09-19,HYG-P-75.00-2025-09-19
LQD,P,105.0,2025-09-19,LQD-P-105.00-2025-09-19
TLT,P,88.0,2025-06-30,TLT-P-88.00-2025-06-30
DBA,P,25.0,2025-07-18,DBA-P-25.00-2025-07-18
DBA,C,28.0,2025-07-18,DBA-C-28.00-2025-07-18
GLD,P,260.0,2025-06-30,GLD-P-260.00-2025-06-30
GLD,C,315.0,2025-06-30,GLD-C-315.00-2025-06-30
SLV,P,28.0,2025-06-30,SLV-P-28.00-2025-06-30
SLV,C,33.0,2025-06-30,SLV-C-33.00-2025-06-30
XLE,P,80.0,2025-06-30,XLE-P-80.00-2025-06-30
XME,P,50.0,2025-09-19,XME-P-50.00-2025-09-19
XOP,P,115.0,2025-09-19,XOP-P-115.00-2025-09-19
XBI,P,70.0,2025-09-19,XBI-P-70.00-2025-09-19
EFA,P,81.0,2025-06-30,EFA-P-81.00-2025-06-30
EFA,C,88.0,2025-06-30,EFA-C-88.00-2025-06-30
EWW,P,59.0,2025-09-19,EWW-P-59.00-2025-09-19
EWW,C,69.0,2025-09-19,EWW-C-69.00-2025-09-19
EWZ,P,20.0,2025-06-30,EWZ-P-20.00-2025-06-30
VNQ,P,75.0,2025-09-19,VNQ-P-75.00-2025-09-19
XHB,P,75.0,2025-09-19,XHB-P-75.00-2025-09-19
IWM,P,170.0,2025-06-30,IWM-P-170.00-2025-06-30
QQQ,P,483.0,2025-06-30,QQQ-P-483.00-2025-06-30
QQQ,C,550.0,2025-06-30,QQQ-C-550.00-2025-06-30
SPY,P,566.0,2025-06-30,SPY-P-566.00-2025-06-30
SPY,C,640.0,2025-06-30,SPY-C-640.00-2025-06-30
HYG,P,79.5,2025-07-18,HYG-P-79.50-2025-07-18
HYG,C,80.5,2025-07-18,HYG-C-80.50-2025-07-18
LQD,P,108.0,2025-07-18,LQD-P-108.00-2025-07-18
LQD,C,109.5,2025-07-18,LQD-C-109.50-2025-07-18
TLT,C,88.0,2025-07-18,TLT-C-88.00-2025-07-18
DBA,C,27.0,2025-07-18,DBA-C-27.00-2025-07-18
GLD,P,300.0,2025-07-18,GLD-P-300.00-2025-07-18
GLD,C,315.0,2025-07-18,GLD-C-315.00-2025-07-18
SLV,P,31.0,2025-07-18,SLV-P-31.00-2025-07-18
SLV,C,33.0,2025-07-18,SLV-C-33.00-2025-07-18
XLE,P,88.0,2025-07-18,XLE-P-88.00-2025-07-18
XLE,C,94.0,2025-07-18,XLE-C-94.00-2025-07-18
XME,P,62.0,2025-07-18,XME-P-62.00-2025-07-18
XME,C,67.0,2025-07-18,XME-C-67.00-2025-07-18
XOP,P,130.0,2025-07-18,XOP-P-130.00-2025-07-18
XOP,C,143.0,2025-07-18,XOP-C-143.00-2025-07-18
XBI,C,84.5,2025-07-18,XBI-C-84.50-2025-07-18
EFA,P,86.0,2025-07-18,EFA-P-86.00-2025-07-18
EFA,C,88.5,2025-07-18,EFA-C-88.50-2025-07-18
EWW,P,58.0,2025-07-18,EWW-P-58.00-2025-07-18
EWW,C,64.0,2025-07-18,EWW-C-64.00-2025-07-18
EWZ,P,27.0,2025-07-18,EWZ-P-27.00-2025-07-18
EWZ,C,29.0,2025-07-18,EWZ-C-29.00-2025-07-18
VNQ,P,90.0,2025-07-18,VNQ-P-90.00-2025-07-18
VNQ,C,94.0,2025-07-18,VNQ-C-94.00-2025-07-18
XHB,C,99.0,2025-07-18,XHB-C-99.00-2025-07-18
IWM,P,212.0,2025-07-18,IWM-P-212.00-2025-07-18
IWM,C,230.0,2025-07-18,IWM-C-230.00-2025-07-18
QQQ,P,518.0,2025-07-18,QQQ-P-518.00-2025-07-18
QQQ,C,541.0,2025-07-18,QQQ-C-541.00-2025-07-18
SPY,P,591.0,2025-07-18,SPY-P-591.00-2025-07-18
SPY,C,612.0,2025-07-18,SPY-C-612.00-2025-07-18
AMD,P,135.0,2025-07-18,AMD-P-135.00-2025-07-18
AVGO,P,185.0,2025-07-18,AVGO-P-185.00-2025-07-18
BAC,P,42.0,2025-07-18,BAC-P-42.00-2025-07-18
BMY,C,55.0,2025-07-18,BMY-C-55.00-2025-07-18
CMCSA,C,37.5,2025-07-18,CMCSA-C-37.50-2025-07-18
CSX,C,35.0,2025-07-18,CSX-C-35.00-2025-07-18
HOOD,P,41.0,2025-07-18,HOOD-P-41.00-2025-07-18
INTC,C,28.0,2025-07-18,INTC-C-28.00-2025-07-18
KO,P,68.0,2025-07-18,KO-P-68.00-2025-07-18
KR,P,67.5,2025-07-18,KR-P-67.50-2025-07-18
MRK,C,85.0,2025-07-18,MRK-C-85.00-2025-07-18
MRVL,P,80.0,2025-07-18,MRVL-P-80.00-2025-07-18
MSFT,P,405.0,2025-07-18,MSFT-P-405.00-2025-07-18
NVDA,P,115.0,2025-07-18,NVDA-P-115.00-2025-07-18
PLTR,P,115.0,2025-07-18,PLTR-P-115.00-2025-07-18
SMCI,P,52.0,2025-07-18,SMCI-P-52.00-2025-07-18
T,P,27.0,2025-07-18,T-P-27.00-2025-07-18
TSLA,P,310.0,2025-07-18,TSLA-P-310.00-2025-07-18
VZ,C,43.0,2025-07-18,VZ-C-43.00-2025-07-18
XOM,P,113.0,2025-07-18,XOM-P-113.00-2025-07-18
