Symbol,Name
0005.HK,HSBC HOLDINGS
0011.HK,HANG SENG BANK
0388.HK,HKEX
0939.HK,CCB
1299.HK,AIA
1398.HK,ICBC
2318.HK,PING AN
2388.HK,BOC HONG KONG
2628.HK,CHINA LIFE
3968.HK,CM BANK
3988.HK,BANK OF CHINA
0002.HK,CLP HOLDINGS
0003.HK,HK & CHINA GAS
0006.HK,POWER ASSETS
0836.HK,CHINA RES POWER
1038.HK,CKI HOLDINGS
2688.HK,ENN ENERGY
0012.HK,HENDERSON LAND
0016.HK,SHK PPT
0101.HK,HANG LUNG PPT
0688.HK,CHINA OVERSEAS
0823.HK,LINK REIT
0960.HK,LONGFOR GROUP
1109.HK,CHINA RES LAND
1113.HK,CK ASSET
1209.HK,CHINA RES MIXC
1997.HK,WHARF REIC
0001.HK,CKH HOLDINGS
0027.HK,GALAXY ENT
0066.HK,MTR CORPORATION
0175.HK,GEELY AUTO
0241.HK,ALI HEALTH
0267.HK,CITIC
0285.HK,BYD ELECTRONIC
0288.HK,WH GROUP
0291.HK,CHINA RES BEER
0300.HK,MIDEA GROUP
0316.HK,OOIL
0322.HK,TINGYI
0386.HK,SINOPEC CORP
0669.HK,TECHTRONIC IND
0700.HK,TENCENT
0762.HK,CHINA UNICOM
0857.HK,PETROCHINA
0868.HK,XINYI GLASS
0881.HK,ZHONGSHENG HLDG
0883.HK,CNOOC
0941.HK,CHINA MOBILE
0968.HK,XINYI SOLAR
0981.HK,SMIC
0992.HK,LENOVO GROUP
1024.HK,KUAISHOU - W
1044.HK,HENGAN INT'L
1088.HK,CHINA SHENHUA
1093.HK,CSPC PHARMA
1099.HK,SINOPHARM
1177.HK,SINO BIOPHARM
1211.HK,BYD COMPANY
1378.HK,CHINAHONGQIAO
1810.HK,XIAOMI - W
1876.HK,BUD APAC
1928.HK,SANDS CHINA LTD
1929.HK,CHOW TAI FOOK
2015.HK,LI AUTO - W
2020.HK,ANTA SPORTS
2057.HK,ZTO EXPRESS - W
2269.HK,WUXI BIO
2313.HK,SHENZHOU INTL
2319.HK,MENGNIU DAIRY
2331.HK,LI NING
2359.HK,WUXI APPTEC
2382.HK,SUNNY OPTICAL
2899.HK,ZIJIN MINING
3690.HK,MEITUAN - W
3692.HK,HANSOH PHARMA
6618.HK,JD HEALTH
6690.HK,HAIER SMARTHOME
6862.HK,HAIDILAO
9618.HK,JD - SW
9633.HK,NONGFU SPRING
9888.HK,BIDU - SW
9901.HK,NEW ORIENTAL - S
9961.HK,TRIP.COM - S
9988.HK,BABA - W
9999.HK,NTES - S
