yahoo,cnbc,investopedia,morningstar
AMD,AMD,AMD,xnas/amd
TSLA,TSLA,TSLA,xnas/tsla
NVDA,NVDA,NVDA,xnas/nvda
BAC,BAC,BAC,xnys/bac
WMT,WMT,WMT,xnys/wmt
VZ,VZ,VZ,xnys/vz
KO,KO,KO,xnys/ko
UBER,UBER,UBER,xnys/uber
XOM,XOM,XOM,xnys/xom
AMZN,AMZN,AMZN,xnas/amzn
XBI,XBI,XBI,[PLACEHOLDER]
XHB,XHB,XHB,[PLACEHOLDER]
XLE,XLE,XLE,[PLACEHOLDER]
VNQ,VNQ,VNQ,[PLACEHOLDER]
GLD,GLD,GLD,[PLACEHOLDER]
0001.HK,1-HK,[PLACEHOLDER],xhkg/00001
9988.HK,9988.HK,[PLACEHOLDER],xhkg/09988
0005.HK,0005.HK,[PLACEHOLDER],xhkg/00005
